time,flux
547.7005451663645,278179.5
547.7012262863864,278144.38
547.7019073064075,278220.47
547.7025885264302,278307.53
547.7032696462265,278416.6
547.7039507662485,278409.56
547.7046318862704,278281.72
547.705313106293,278429.62
547.7059942263149,278386.06
547.7066754463449,278481.16
547.707356466366,278359.3
547.7080375861551,278450.62
547.708718706177,278287.38
547.7093999261997,278369.34
547.7100810462289,278408.1
547.7107622662515,278382.03
547.7114433862735,278243.4
547.7121245062954,278248.03
547.7128055263165,278224.62
547.7134867461136,278172.34
547.7141678661355,278274.16
547.7148490861582,278263.0
547.7155302061801,278355.84
547.716211326202,278153.0
547.7168925462247,278242.88
547.7175736662539,278241.3
547.7182546860422,278267.66
547.7189359060649,278330.94
547.7196170260868,278064.66
547.7202981461087,278174.94
547.7209793661386,278109.5
547.7216604861605,278336.5
547.7223416061825,278142.34
547.7230227259715,278069.88
547.7237038459934,278155.7
547.7243849660226,278303.22
547.7250660860445,278138.1
547.7257473060672,278421.94
547.7264284260891,278135.78
547.7271095458782,278460.62
547.7277907659009,278083.3
547.72847188593,278284.0
547.729153005952,278269.53
547.7298340259731,278407.4
547.7305152459958,278415.7
547.7311963657849,278458.16
547.731877485814,278332.84
547.7325587058367,278479.44
547.7332398258586,278281.12
547.7339210458813,278427.53
547.7346021659032,278434.4
547.7352831856988,278585.66
547.7359643057207,278856.38
547.7366455257434,278652.75
547.7373266457653,278718.03
547.7380077657872,278536.94
547.7386889858099,278817.25
547.7393701056062,278731.56
547.7400513256289,278843.6
547.74073234565,279198.53
547.7414134656719,279863.8
547.7420945857011,279973.22
547.742775805491,280636.3
547.7434569255129,280621.94
547.7441381455355,280145.66
547.7448192655575,279975.12
547.7455003855794,279758.22
547.7461814056078,279810.84
547.7468626253976,279570.8
547.7475437454195,279621.72
547.7482249654422,279643.1
547.7489060854641,279464.88
547.749587205486,279230.44
547.7502683252824,279257.75
547.750949545305,279305.75
547.751630665327,279163.47
547.7523116853481,279146.6
547.7529929053708,278934.22
547.7536740254,278969.22
547.754355145189,278897.44
547.755036265211,278880.5
547.7557174852336,278956.3
547.7563986052555,278906.3
547.7570797252847,279106.47
547.7577608450738,278981.22
547.7584419650957,279033.16
547.7591230851176,278915.25
547.7598043051403,278918.34
547.7604854251695,278971.12
547.7611665449585,278958.94
547.7618477649812,279044.72
547.7625288850031,279183.7
547.7632099050243,279111.47
547.7638911250469,279275.66
547.7645722448433,279007.34
547.7652533648652,279003.9
547.7659345848879,279192.5
547.7666157049098,279422.88
547.7672968246989,279247.1
547.7679780447288,279245.94
547.76865906475,279369.78
547.7693401847719,279266.6
547.7700214047945,279073.75
547.7707025245836,279249.84
547.7713836446128,279261.44
547.7720648646355,279271.28
547.7727459846574,279253.9
547.7734271046793,279125.84
547.7741083244691,279229.94
547.7747893444975,279216.9
547.7754704645195,279348.6
547.7761516845421,279244.44
547.7768328043312,279121.4
547.7775139243531,279046.38
547.7781951443758,279197.78
547.778876264405,279246.66
547.7795573844269,279365.88
547.780238504216,279369.34
547.7809196242379,279400.22
547.7816007442598,279265.9
547.782281864289,279318.28
547.7829630840788,279277.44
547.7836442041007,279247.3
547.7843253241226,279375.7
547.7850065441453,279346.94
547.7856875639409,279408.4
547.7863686839628,279399.28
547.7870499039855,279468.88
547.7877310240074,279275.28
