id,group_id,group_size,local_bkg,x_init,y_init,flux_init,x_fit,y_fit,flux_fit,x_err,y_err,flux_err,npixfit,qfit,cfit,flags,RA,DEC,RA_ERR,DEC_ERR,time,x_fwhm_init,y_fwhm_init,x_fwhm_fit,y_fwhm_fit,x_fwhm_err,y_fwhm_err
1.0,1.0,1.0,32.954531655093746,868.3941153234915,21.562828184487067,126758.38478035326,868.9020782979293,21.01332593552275,104968.38463687157,0.009698293669590748,0.009694540855412385,377.71018467320357,625.0,0.17741913170383483,0.0001881256034097448,0.0,45.554965219756276,-54.99227146472016,1.2470372539041819e-06,7.0386464301464e-07,57374.24065968833,,,,,,
72.0,72.0,1.0,22.69940598123575,502.4809513020725,2587.0513352348116,8067.0898203862025,502.77658388490835,2587.0674967666414,885.6471138026369,0.05628738170773935,0.05647342797134184,18.530055644911208,625.0,1.5471834642478837,0.005279302680563661,0.0,45.88124295601761,-54.96382516606065,7.284096859905276e-06,4.06509163752844e-06,57374.24065968833,,,,,,
71.0,71.0,1.0,25.648731935804136,1659.9999335667053,2583.3357511082445,18032.512918975626,1659.9467177470162,2583.7521641174962,9659.72891545672,0.009850848767728099,0.009870647996149878,35.34776878778239,625.0,0.24650098521773078,0.0005917711533427873,0.0,45.88287033273852,-55.04837145185312,1.2757853511402573e-06,7.116991582734045e-07,57374.24065968833,,,,,,
70.0,70.0,1.0,23.585985819498696,555.5960546249427,2537.1738507179743,12086.546600471045,555.7057729459369,2537.1039455388686,3904.4212746015796,0.02333431713283389,0.023407703470170897,33.862736303696884,625.0,0.5755561888580765,0.005124376157188749,0.0,45.874980673010484,-54.96773143703501,3.0192973383691424e-06,1.6854211111194672e-06,57374.24065968833,,,,,,
69.0,69.0,1.0,24.233254788285592,1943.485763409006,2443.41741532676,11825.213272134277,1943.672124128855,2443.75810017542,4284.256870113779,0.01574628981127279,0.015763993628928975,25.04868563448845,625.0,0.3965445438020331,0.002752562577420804,0.0,45.86550919088625,-55.0692226556873,2.0381742942277015e-06,1.1379594084814926e-06,57374.24065968833,,,,,,
68.0,68.0,1.0,22.85792711861113,184.59815206922858,2398.1588169405645,9086.509837649273,184.78414522085106,2397.5049012170693,1804.3967109156793,0.02900881169118033,0.029093882814933053,19.452993535131363,625.0,0.792921679002551,0.0018821134181687413,0.0,45.85657575925926,-54.94075429318331,3.7495206441917617e-06,2.095366575360913e-06,57374.24065968833,,,,,,
67.0,67.0,1.0,22.49873961911181,1300.3824419026446,2334.5198707220525,8040.077492423693,1300.5544166345887,2334.2519908990225,885.867030393339,0.05511527516700012,0.0552214810721417,18.136215053691203,625.0,1.50072179804625,-0.0007695195266263437,0.0,45.85044615056356,-55.02231069819046,7.130716802805637e-06,3.983654579542417e-06,57374.24065968833,,,,,,
66.0,66.0,1.0,24.033854476407043,1134.8429683891643,2308.2164447874393,11108.384190768349,1134.8444665432405,2308.0835039998246,3526.707376627687,0.017751650217672627,0.017788431387823198,23.256581418646398,625.0,0.4524434907615642,0.0019646615905672842,0.0,45.84682976854005,-55.01022275391254,2.2962527310710357e-06,1.2830696078935944e-06,57374.24065968833,,,,,,
65.0,65.0,1.0,23.288492267967293,88.98529696499992,2290.366908870848,9862.495954790791,88.93086142149387,2290.222749096527,2486.6264575582545,0.02366563515223535,0.023729245146322443,21.867556436743858,625.0,0.6431928224120818,0.0013358702014458872,0.0,45.84277095497897,-54.93383883268559,3.0571832709824776e-06,1.7096450903864024e-06,57374.24065968833,,,,,,
64.0,64.0,1.0,22.65424987017098,1649.272228851581,2240.833696419263,8418.11024791166,1649.1249926196922,2241.315709774611,1172.7684500006937,0.04420251682651673,0.04425472069641178,19.248789714307243,625.0,1.1842765622990499,0.00041368135294593506,0.0,45.83918813411638,-55.04785774955902,5.717481165845584e-06,3.1956784880549094e-06,57374.24065968833,,,,,,
63.0,63.0,1.0,26.321888013517473,1838.0420005524177,2215.611503654683,21460.4073181504,1837.9551875784123,2215.763045472718,12811.82487765582,0.009387932519095803,0.009395300752367402,44.65180087719232,625.0,0.2232520633198935,0.001266738141382467,0.0,45.83624404843605,-55.06167909384752,1.214190284315464e-06,6.787569546418126e-07,57374.24065968833,,,,,,
62.0,62.0,1.0,22.807405723409452,1338.1535389952828,2153.9444347266754,8058.094125912001,1338.4463671837518,2153.3816284232275,898.7161516646844,0.05618797814404163,0.05626997038161055,18.75300275545817,625.0,1.5290123308724486,0.0015735815598518488,0.0,45.82745977337191,-55.02522132926306,7.26498858227842e-06,4.062652564584823e-06,57374.24065968833,,,,,,
61.0,61.0,1.0,26.846731588307314,2022.0681579948446,2151.0322474946583,10128.88323538223,2022.4731495900924,2150.421140264435,1414.5934321098166,0.05591060143215924,0.05592589437769418,29.354365432014454,625.0,1.5281576874669272,-0.0011068594631707717,0.0,45.828211418380036,-55.07521730505519,7.229276363318604e-06,4.04291932909473e-06,57374.24065968833,,,,,,
60.0,60.0,1.0,23.414576550747483,712.455142523933,2118.5991303682836,9689.34449770455,712.108585707848,2118.2559993496484,2289.697181423373,0.024971187241389015,0.025022178857013015,21.239721014985644,625.0,0.6516234037131482,-0.0006652170027686374,0.0,45.82194540450392,-54.979483959272144,3.226789829113841e-06,1.8052361099307745e-06,57374.24065968833,,,,,,
