lines,nolines
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
8.413408858487514e-17,0.0003160696125855801
8.413408858487514e-17,8.413408858487514e-17
8.413408858487514e-17,8.413408858487514e-17
0.28277061688761024,0.23055304807137011
0.13650567305060998,0.14165440727347672
0.05980742094422729,0.061613358129548414
0.04261232216155334,0.043669284399907526
0.008362152832853438,0.008209378782831367
3.5388358909926865e-16,3.5388358909926865e-16
3.365363543395006e-16,3.365363543395006e-16
1.9081958235744878e-16,1.9081958235744878e-16
1.682681771697503e-16,1.682681771697503e-16
0.00031559467676118674,0.0001580348062927912
0.0023652484013312373,0.0021608736659046147
0.004190930684227559,0.003968324583498641
0.0039446165846631805,0.004051293003474353
0.0023115146549394757,0.002256983606497841
0.000947509894407436,0.0009112628599915566
0.002612106429684671,0.0027582557894437637
0.002573086667798025,0.002534753439686004
0.0035318408797679313,0.003412608972619017
0.0021183720164314654,0.0019508395628549274
0.0004730486232936269,0.0005215122242095635
8.413408858487514e-17,8.413408858487514e-17
0.0008966465301332543,0.0009717895862788346
0.000497493718553305,0.0005663700203930239
0.00022338307903688667,0.0003155946767611942
0.0004722022871609123,0.0006077622890571557
0.00015803480629279087,8.413408858487514e-17
0.0004974937185533051,0.0004974937185533076
0.0001580348062927887,0.00015803480629278879
0.00015803480629278876,8.413408858487514e-17
0.0005224700948379693,0.000446206230346458
0.0004974937185533062,0.0005224700948379674
0.004081225306204026,0.005657912600950991
0.004132889425087494,0.004553567282911301
0.00457527048380748,0.004710403379754234
0.0027257842908051063,0.0028934235777017024
0.002712028760909423,0.0023153779389119165
0.006498953761952755,0.005812701609406727
0.00545613187157348,0.005291027782954884
0.003465818806573733,0.002947727938599491
0.008994652578059873,0.007679243126767119
0.01979266530813881,0.01851454563309615
0.007661977551520192,0.006627940856706585
0.010430647151543362,0.010806469127332925
0.015958050476170195,0.01517509802274763
