,id,group_id,local_bkg,x_init,y_init,flux_init,x_fit,y_fit,flux_fit,x_err,y_err,flux_err,npixfit,group_size,qfit,cfit,flags
0,1,1,38.45717493016669,868.8792895149417,20.835962277757908,104075.83371346054,868.8491111620006,21.011043019632076,184624.66015244697,0.2405822292590359,0.24056589473797874,6625.025228013834,625,1,0.7867510838319394,0.01571682929403645,0
1,2,2,23.359393554038192,232.39810013797282,42.216676722100146,2350.2409097619743,232.28417551986266,42.44371417713486,951.517147705906,0.41122458348022445,0.41125321964530837,58.36052173195677,625,1,1.7455552724937151,0.018733150717907782,0
2,3,3,25.446656022753032,1478.0871422429218,44.15227542505187,9830.6989044583,1478.070142363903,44.295267599270474,14184.333287594498,0.25919103962356355,0.259154060571768,548.3168160885649,625,1,0.8687326591389265,0.01757967798342526,0
3,4,4,22.576046794778684,1303.421116921228,79.47679741977015,2890.4832468341824,1303.6018085856015,79.71454911986633,2083.0250372603496,0.28702812150790685,0.2869946110286546,89.14521484804321,625,1,1.0816108119920722,0.015836270143545373,0
4,5,5,26.232045749448375,1296.2004067424293,181.56298621929326,34345.651230146126,1296.1270252826953,181.68861525950135,59209.48173355472,0.2443192571217858,0.2442924245362055,2157.5265252488616,625,1,0.7830109038798696,0.015444846595771866,0
5,6,6,23.73265143285824,1486.3632875790063,196.53554586165288,2194.6499500949353,1486.2918347639607,196.53242113610028,526.142576380304,0.779923433544853,0.779807220753577,61.195791437147605,625,1,3.265063523777434,0.029989477657725166,0
6,7,7,43.40385437011719,1144.6569323481428,209.36233764367233,5219.597505452225,1144.517552944976,209.76462352366215,3125.2776368734044,0.41816230331678544,0.4182483530742606,194.9006801535556,625,1,2.0196424117702905,0.009154649200383775,0
7,8,8,26.490813669344277,1132.6851707014137,230.13622156097617,15301.154710382349,1132.6315242981238,230.29474938340795,24095.714028047983,0.2506133899460055,0.2505902179977553,900.6321017837491,625,1,0.8320835057808789,0.01633667811635305,0
8,9,9,23.141643094001935,619.7630949452114,255.47366827467894,3196.347198632119,619.7489301543784,255.5091004566051,2503.777905769179,0.2889419028931821,0.28898049797678843,107.90429024776941,625,1,1.0715274863690845,0.018142073623625972,0
9,10,10,23.21428156735604,365.0487625201572,298.4219987354107,10173.68963335999,364.9780830561799,298.5346752541515,15391.10725847064,0.2413880714555334,0.24143789051736259,554.1609970002902,625,1,0.7722193036345295,0.016350195662228378,0
10,11,11,25.184360717978713,837.122520262473,327.01473670306706,11903.029445578324,837.0165479998294,327.17660444581105,18124.05471803477,0.2529133782485871,0.25290670537535875,683.6998069449023,625,1,0.8199529608384276,0.01683785155984301,0
11,12,12,24.887078945453354,1089.0669662566409,415.161189427103,5131.524958149584,1089.048104258471,415.2811782464028,5617.442206164299,0.28530690496789834,0.285298337297014,239.04472247668926,625,1,1.0184381913270215,0.019905972834125384,0
12,13,13,22.82393901094477,320.6508600919196,428.79399131231304,2357.911778289507,320.30366746841975,429.04480331981864,1065.2358984182683,0.3780101130247325,0.37789702446533463,60.0435062957707,625,1,1.5388974580786228,0.01338251571615615,0
13,14,14,21.700467340238802,6.430736114821761,470.11843884863174,5630.27128439446,6.649591279189916,469.13400112377866,8932.021019974658,0.7355749200324068,0.702127013397974,935.808445175269,475,1,1.2487058099777872,0.05998389451934259,1
14,15,15,24.293708142047656,264.22289604143685,557.4117278964424,13280.548216408519,264.17965468848246,557.551645267683,20754.043694625027,0.24126244281878317,0.2413184108783686,746.8564164678834,625,1,0.7947669202772091,0.015180869565580922,0
15,16,16,23.61149561455909,1071.9140070504702,557.4922346998383,4853.211066269238,1071.818474538912,557.6631709123783,5446.444289797415,0.2667064146123205,0.26677631307888694,216.66044925573314,625,1,0.9165628195579505,0.017553373964814493,0
16,17,17,28.090859296370525,1573.453730996066,581.9768355792708,42935.25536808119,1573.3970430858876,582.1282577027632,74647.42303501167,0.24357330925473605,0.24349173663328255,2711.3303163941946,625,1,0.7875761785383876,0.01597362397529841,0
17,18,18,23.83391513987484,758.7038794747087,626.4660370970344,5484.285133885422,758.6398985142524,626.6050526093078,6596.799108888344,0.2523168636056504,0.252370067293151,248.2562126412547,625,1,0.8681146773377478,0.015183433888370745,0
