Scenario1
"[5034.55633273 5034.55633273 5034.55633273 5034.55633273 5034.55633273
 5034.55633273 5034.55633273 5034.55633273 5034.55633273 5034.55633273
 5034.55633273 5034.55633273 5034.55633273 5034.55633273 5034.55633273
 5034.55633273 5034.55633273 5034.55633273 5034.55633273 5034.55633273
 5034.55633273 5034.55633273 5034.55633273 5034.55633273 5034.55633273
 5034.55633273 5034.55633273 4863.71491768 4836.06233492 4800.98597479
 4714.57930571 4691.55850336 4681.63533931 4679.78599874 4674.08718137
 4675.86033451 4678.12238486 4679.94442522 4683.05950671 4687.72739973
 4694.99256624 4701.82621818 4703.46518623 4707.17729357 4712.23269987
 4720.24502949 4729.20102925 4732.95441485 4735.5799787  4739.11966317
 4747.13685171 4740.64206699 4741.57858874 4746.73003086 4744.6355763
 4750.11492638 4748.7586518  4753.45525105 4757.07364974 4758.70099086
 4765.2538591  4780.09851187 4780.13230605 4781.31929816 4784.1378431
 4792.60433901 4809.70622571 4811.27126009 4818.64704356 4826.49300888
 4837.25695472 4828.13720907 4839.73635808 4842.87928626]"
"[5034.55633273 5034.55633273 5034.55633273 5034.55633273 5034.55633273
 5034.55633273 5034.55633273 5034.55633273 5034.55633273 5034.55633273
 5034.55633273 5034.55633273 5034.55633273 5034.55633273 5034.55633273
 5034.55633273 5034.55633273 5034.55633273 5034.55633273 5034.55633273
 5034.55633273 5034.55633273 5034.55633273 5034.55633273 5034.55633273
 5034.55633273 5034.55633273 4865.13519662 4834.76144735 4800.36890219
 4714.69160074 4691.03740974 4681.43749463 4679.66956094 4674.08107719
 4675.85925716 4678.12327325 4679.94251386 4683.05256524 4687.75309748
 4695.06167357 4701.87533509 4703.9305491  4707.13742741 4712.18317538
 4719.89659589 4729.47054828 4732.95427845 4735.45732254 4739.19343691
 4747.17646777 4740.64307768 4741.53533069 4746.68374634 4744.69818405
 4750.06992695 4748.79144233 4753.46634573 4757.0263073  4758.79405918
 4765.34373072 4779.75163741 4779.78045137 4781.0863078  4784.44669407
 4792.08046878 4810.66182264 4811.92411436 4818.62104086 4826.46488585
 4837.7908346  4827.92320671 4839.69480904 4844.15113469]"
