mjd,dpar,dpar_clean,dpar_error,g_mag,g_mag_err
57374.245123047396,-0.06647895428199319,-0.04292779275491592,0.2482393596014687,0.09970169791270855,0.052187043748140385
57374.24566513418,-0.005059565775682153,0.02133254981472076,0.24028011190726184,-0.1091998901194291,0.04303415612871947
57374.246237897605,0.013962272052781605,0.032564591288954926,0.25672173117703173,0.09593710040427794,0.05277833237295987
57374.24679229859,0.0763642891427672,0.07360557697131641,0.257189102300623,-0.019351413604100642,0.05044401852825947
57374.24734976024,,,,,
57374.24790304527,0.09727885431984758,0.12677190509277445,0.25780517818124754,0.10234355358162084,0.05449127736924923
57374.24845713339,0.15054741016282788,0.1751747499387045,0.24849230647225093,0.0159777841424269,0.04857469072551135
57374.249015232665,,,,,
57374.24958296006,,,,,
57374.250139535165,0.09686001140892303,0.131306911400329,0.2410506634292999,0.005610838829793963,0.04526529703359071
57374.250695473034,0.017784562799163434,0.013314635579176401,0.2786519488556095,0.10057327041724129,0.056303410652366354
57374.251252728885,0.08749027694798255,0.11766723418270804,0.2387422237637187,-0.07538709939565358,0.042563574248313835
57374.25180864308,0.047863282681606605,0.08168232104646167,0.24245093779598687,-0.04807568321011502,0.045248869200344585
57374.25236423108,-0.008230486225557268,0.02033018029396784,0.2514568755462784,-0.017839294006764206,0.04765175209284474
57374.25291918243,-0.138836945176462,-0.13214417309991716,0.25566469434755235,0.012243305812766891,0.049529925413185155
57374.25346143346,-0.21019215956552975,-0.17368285407032816,0.3377250992889744,0.27615803600376054,0.07625853625657499
57374.25401780249,,,,,
57374.25456680212,0.2040450070338805,0.2060712781263723,0.32461114232296545,0.27231421399033273,0.07202486754738363
57374.25513005374,-0.004632240351449589,-0.01706571057957658,0.3487672846285128,0.3801017815609953,0.08344476235711545
57374.255702588875,0.17879986967416137,0.10906283070781754,0.22995145895925187,-0.28663192674424565,0.03311788762440587
57374.25626709463,0.05455796937218431,0.14997080900419388,0.28490340098305855,0.0014637655657523396,0.05594153836216338
57374.25683197735,0.3207097328102568,0.2870763330279077,0.28873868119252005,-0.36541444223046504,0.04787005589901942
57374.25738249212,0.2933609713313843,0.29320829516096086,0.21328759503801917,-6.124869385848905,0.023959660050168686
57374.25792112619,0.30615212155300187,0.2892182726112798,0.20652464409356058,-5.824991831143551,0.02180760403509194
57374.25846568892,0.28634129528210694,0.2330373919929003,0.2146461872323712,-5.413546014023099,0.023140969103771034
57374.25901327613,0.32165344481742925,0.3092192145794231,0.20838425251368137,-5.030781732292144,0.023401803342602435
57374.259571232964,0.18082921263519336,0.346247648351122,0.20540891626177465,-4.553421302336135,0.022435644005492094
57374.260136991594,0.32244002250185066,0.3282166960245239,0.2181262002892007,-4.172285683147059,0.023741479125249206
57374.260689240255,0.29502362629603124,0.3049213899572279,0.20807405254149877,-3.8954243442410377,0.02367489281456028
57374.261238135856,0.30534757814724534,0.30500518721234604,0.20859630003348736,-3.660424749905756,0.02241672290063634
57374.26180654388,0.421705951760916,0.4538990911487119,0.2471319460918491,-3.3347542847197076,0.02785197225476806
57374.26235904839,0.4708210482618452,0.3801441695986534,0.22607292187360137,-3.1325962183891765,0.02541826564059706
57374.26291104133,0.4631936108573576,0.32473902493586915,0.23794183544244182,-2.910990728115941,0.02795221891072233
57374.26346734922,0.27745656636944643,0.2871030767850414,0.20783713447526717,-2.743751663352814,0.02464265143477581
57374.264023168114,0.294804685615642,0.251001097243958,0.20900750545937077,-2.543326885373663,0.026557699407536692
57374.26457678002,0.23894198427982338,0.24842303338705893,0.20434056931444308,-2.412734373056173,0.025627154617551395
57374.265130766726,0.20218325752268093,0.19582976529272578,0.20749955946381635,-2.2959727607231084,0.02602046095262465
57374.26570033793,0.31257645238976656,0.2970531775970776,0.2065128250372865,-2.158472180531332,0.02581607385456301
57374.266251524445,0.14841499501329453,0.1996601654808996,0.21121109201061805,-1.9800814376939844,0.028654205026439287
57374.26681186673,0.3480469374810481,0.3392498680120865,0.21245979679298252,-1.9404920760542126,0.025832666025201265
57374.26736827734,0.29640865763598767,0.3125807481141926,0.21375531834359612,-1.8769464955193165,0.027437492591395492
57374.267933371346,0.2731125665797701,0.31339320067935167,0.22096913514788677,-1.7748526142586218,0.030229197973906743
57374.26849201935,0.2198184434074255,0.29740400387398735,0.21801740893142266,-1.6205444701437344,0.030277986207232637
57374.26905917175,0.2562659241320947,0.22598878426323715,0.21193635214626158,-1.7387824599552282,0.027923991522384933
57374.26961341397,0.2867581538646576,0.29046020106465137,0.21513760739618173,-1.7763744425695958,0.028164453954652145
57374.27016994389,0.27429696989189056,0.3033404287040734,0.2272090098096104,-1.659133842501232,0.031235994078675316
57374.270722839734,0.31732044286022854,0.2904851312420239,0.22299624420200995,-1.6657623626507743,0.032194446497149254
57374.271284924005,0.23054230239368317,0.26656280088122813,0.2204803354163984,-1.6215230625781594,0.03039521316041444
57374.27184018442,0.14283595268411198,0.17728518829850284,0.21269821434143468,-1.626448812601998,0.028194918876683562
57374.27240848544,0.3241888674434202,0.3083810436078092,0.2217130126802565,-1.5396939950067203,0.032095921217776616
57374.27297688711,0.22717303321514196,0.2083290115987162,0.22851217530649273,-1.4842701859151237,0.0357391289476431
57374.27352741983,0.35680178511401667,0.39903675139122896,0.2151609773154633,-1.49295776285636,0.029660763191476393
57374.274077566006,0.35190729855596947,0.3802768763933927,0.2320844327711461,-1.3920822429939488,0.034482309054567825
57374.27464287332,0.3768593625936843,0.3549382573960578,0.22657850845177258,-1.3406333060832,0.03348162756809331
57374.27519976315,0.17886369132215388,0.19462416725474493,0.22810329447720715,-1.3671796786810635,0.031169846284607245
57374.27576775117,0.2924026400028748,0.2623645666324476,0.21713248913129232,-1.3740050078598056,0.02616863022198161
57374.27631999655,0.1494931913853456,0.14431518546244385,0.2362247378325711,-1.2446951685549337,0.03300862357545761
57374.27686898457,0.10554971602144758,0.10192043264406152,0.22735737578764798,-1.2015915460530717,0.033687703241869996
57374.27742377308,0.1858839941997112,0.19245955942667325,0.23138523082257945,-1.098458630507574,0.035439191640835435
57374.27798534015,0.11458070921632829,0.20149448676608156,0.22863976463805483,-1.089881292471711,0.03641730935968367
57374.27854554909,0.19423446523849167,0.19342499630892668,0.2468855932158021,-1.0400563758559365,0.036465125995792894
57374.27909352589,0.20308259591973768,0.17637799367933377,0.22763448285861776,-1.0348971164471017,0.03214017162006341
57374.27964990046,0.18788877229729956,0.22518173198428829,0.23018030398568182,-1.0142831189212007,0.030159909667848452
57374.28020356769,0.17306777794785003,0.217842898500473,0.2184496285443642,-0.9844471146470166,0.031242110087650012
57374.28076088991,0.27765478626254164,0.2768383303009355,0.21864207352268422,-0.955727632668582,0.033051703614682626
57374.281315415705,0.2005202992162779,0.1963269181714766,0.2160239157093834,-0.9911065414115274,0.03019971648029993
