lines,nolines
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
2512.256934292354,2511.0399324582663
2317.7219132372234,2303.623425475611
2064.410425375732,2087.714726082071
2434.180960816184,2819.9451398209967
3364.6564742927317,3428.8086817289773
7063.2355724271165,8084.933342953391
11267.802295106192,10449.10223894857
6149.4994005610115,7093.89528820385
219.54208343732202,217.43199373597238
227.2217736045564,220.85447131538848
238.96074656729763,231.61362999616475
205.5231802011632,193.7879952422233
912.6210402461684,1160.7537133690323
4995.2673992490445,4780.833746325021
6210.578373581645,6313.952052961769
14555.141259963846,14146.01237487083
8653.120575584298,8438.553085428823
2916.8117827347005,3121.2525736312914
8292.830551018149,8021.111057478251
6917.469947777163,6719.118813773137
7212.002509012268,7354.708261216067
4453.065226335733,4561.856719187918
1137.7031512657397,1417.9556311464776
564.5919854195565,521.7354838421469
2530.6896789412995,2365.3990781895573
1690.1277911448008,1392.7256199266214
960.9553566633527,769.8931764212498
1434.1947609721617,1709.9677213035372
660.472184955582,689.7623834336005
1273.8620675332154,1098.2689320471566
808.6069076504349,627.6355565931552
671.5112758546948,781.8795863814329
1186.942678312645,1247.2228740285525
1318.469674129823,1290.853512370789
4511.852524185603,4561.335633682314
4646.111255566316,4666.915818814396
5051.467771163155,4896.634141571119
3234.489849713552,3267.868036977634
3263.486417927919,3055.8801619009873
4239.98659713684,4336.10577563555
4025.9216662026556,3797.6444209404362
2672.247536363355,2779.2743639302976
4042.003326025355,4055.777468143443
3832.258158057711,3867.6576820602854
3752.6858884670696,3723.7908856298636
3896.3655103185115,3879.496530788495
3579.413619239888,3748.244813989616
