id,group_id,group_size,local_bkg,x_init,y_init,flux_init,x_fwhm_init,y_fwhm_init,x_fit,y_fit,flux_fit,x_fwhm_fit,y_fwhm_fit,x_err,y_err,flux_err,x_fwhm_err,y_fwhm_err,npixfit,qfit,cfit,flags,RA,DEC,RA_ERR,DEC_ERR,time
1.0,1.0,1.0,32.86000245990175,868.522295700516,21.28590447122818,126752.98487492444,1.0,1.0,868.9018543377983,21.0197582583205,108797.19866909685,4.375444666510684,4.819989841867333,0.0074148682538772185,0.008144571124482917,428.6774880753462,0.017668225197611284,0.019373346106835974,625.0,0.13984176634789594,0.0014613854967366424,0.0,45.554966039686086,-54.99227144505989,1.0468369922023157e-06,5.377675833528883e-07,57374.24065968833
67.0,67.0,1.0,22.824019829091085,184.67623603596388,2398.123898342542,9088.540347727183,1.0,1.0,184.78857812956022,2397.4987524046937,1770.4560126493054,4.180594533342493,4.508737933503988,0.027055523173588482,0.0292909503879447,26.630040792830425,0.06456715551808344,0.06957454350806536,625.0,0.7983544293981483,0.0009738943722422414,0.0,45.85657498516875,-54.94075462170145,3.7711842111320948e-06,1.9525833820921434e-06,57374.24065968833
66.0,66.0,1.0,22.704307109751603,1300.4325349631736,2334.1771435834657,8039.251865148827,1.0,1.0,1300.5386880176131,2334.2569146845976,930.0167911613418,4.746309615766011,4.663133380696583,0.05846312398457137,0.057663396332270155,26.663213817458754,0.13900301832243223,0.13690953625200245,625.0,1.404181845078414,0.0016398975524110208,0.0,45.850446751167595,-55.022309544929506,7.447592601295128e-06,4.226356629999373e-06,57374.24065968833
65.0,65.0,1.0,23.986070882418993,1134.9019371167888,2308.0075004201917,11107.253666941533,1.0,1.0,1134.8454814124696,2308.0801083725814,3511.8570916504314,4.184206774790535,4.641631556598654,0.01594970612619908,0.017712169908051665,31.06910112974673,0.03803519666167613,0.04205939264717292,625.0,0.4463034931300302,0.0016455143247992945,0.0,45.84682933770381,-55.01022283074321,2.2834710264874047e-06,1.1514643460941443e-06,57374.24065968833
64.0,64.0,1.0,23.267743200318428,89.05094604680585,2290.1854854621192,9862.451181560038,1.0,1.0,88.92706118569961,2290.2166716077963,2502.344187452713,4.17800683142617,4.746129613250416,0.021437153656811498,0.02439469465906647,29.84134632712907,0.051160707445556244,0.057908898438296795,625.0,0.6180637630106217,0.0013737434095762856,0.0,45.84277017584746,-54.93383855989841,3.137968839439509e-06,1.5464196110315243e-06,57374.24065968833
63.0,63.0,1.0,22.521962290574727,1649.4659578843218,2241.4409476063756,8420.588655269245,1.0,1.0,1649.1313498022705,2241.3094487901135,1204.448561894762,4.2889425777306425,4.781171395300667,0.04254951362168233,0.04738708894911176,27.708113418311452,0.10132689513378002,0.11248687301347965,625.0,1.1590695353063099,0.0010269342600378528,0.0,45.8391873463427,-55.047858219112534,6.114161422487996e-06,3.072398669701215e-06,57374.24065968833
62.0,62.0,1.0,22.798943957545724,1338.2464916851275,2153.455168996081,8056.4570432270075,1.0,1.0,1338.4708884328961,2153.3856701959244,831.0819103598818,3.944002784022973,4.216322195473035,0.049928036826913096,0.053433991756543994,24.35783605792049,0.11921206655151412,0.12715851379044954,625.0,1.6517877169691344,0.0022296931286056444,0.0,45.82746032919465,-55.02522311810865,6.893148757569634e-06,3.6073780762535534e-06,57374.24065968833
61.0,61.0,1.0,26.77172036311797,2022.0956282290792,2150.938744896236,10127.999668213335,1.0,1.0,2022.4341832284338,2150.4051346685096,1862.8113779847752,5.334265714203467,6.064833848067495,0.05717928909908071,0.06486859024251872,46.50873777123493,0.1355645246967852,0.15353907048336662,625.0,1.022957053783662,0.00429933249738138,0.0,45.828209311715156,-55.07521446937668,8.372662811950704e-06,4.128644427225936e-06,57374.24065968833
60.0,60.0,1.0,23.5299449532719,712.4943676297104,2118.252555056457,9687.56820811723,1.0,1.0,712.1101248358242,2118.249145693138,2297.184752129141,4.137734208437916,4.782187482126786,0.022296188576517436,0.02576911900444996,28.745623052312027,0.05320906874916499,0.06118470906317742,625.0,0.6331590165156917,0.005952548323340869,0.0,45.8219445345974,-54.97948407690929,3.317429971616548e-06,1.6092529691036361e-06,57374.24065968833
59.0,59.0,1.0,24.17210900885427,1124.247221511951,2033.4443067282707,12724.59605541893,1.0,1.0,1124.032790655646,2033.2557412141043,4982.199921627414,4.267211655108579,4.6281508202328325,0.014012378561055399,0.015206972526551255,37.99222399134598,0.033399579753544656,0.036132602620930834,625.0,0.3626441099547749,0.002686392709723224,0.0,45.811798994544894,-55.00964467580424,1.9603985919047773e-06,1.012445871140244e-06,57374.24065968833
58.0,58.0,1.0,22.759741545729497,1152.551361375897,2014.2087068957674,8706.407477198425,1.0,1.0,1152.1580288114376,2014.1848351493416,1505.709833251465,4.279045082960859,4.591416662078866,0.03331906617190574,0.03577932833771259,27.22676820976795,0.0794104655909851,0.08502897668192277,625.0,0.9203338233396049,-0.0004017057273758176,0.0,45.809414969282095,-55.01171424094033,4.613178710144439e-06,2.4078250291381664e-06,57374.24065968833
57.0,57.0,1.0,42.82965371963826,1318.641109113507,2011.4393784153494,217585.3098935732,1.0,1.0,1318.2077438030362,2011.8367912918395,189650.49744985608,4.3109241089699895,4.662602141518977,0.007666843964059686,0.008293034375733888,783.0769273383271,0.018265370046539966,0.01970291134659446,625.0,0.1496466770086565,0.001561926598068932,0.0,45.809385775634944,-55.02385039041319,1.0694815841816308e-06,5.540314447216588e-07,57374.24065968833
