lines,nolines
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.7822756624597986,-0.7880431742860557
-0.9639498396331677,-0.9694790371438924
-1.210569765089985,-1.2148954389424496
-6.14332609204422,-6.143464424585504
-5.862204567714658,-5.862648105824263
-5.446675023900748,-5.446550168667019
-5.073703033079623,-5.0738029749242735
-4.588792143215503,-4.588904560454364
-4.198063456183642,-4.19822865283094
-3.9334560380837145,-3.933692252812891
-3.6946279776500868,-3.6944044831810334
-3.381579312621902,-3.381664384842825
-3.184019015325587,-3.183875500787301
-2.9517322098262753,-2.9512732180071923
-2.7834131741258394,-2.7834387289746196
-2.5885446994047143,-2.5882847756569927
-2.457252283882397,-2.457657362235182
-2.3219137057223973,-2.321536105731049
-2.2069914635678556,-2.2067764007517985
-2.0385848781825646,-2.0388291877638465
-1.994091981311651,-1.9937255034352257
-1.9278864705648509,-1.9294162577945844
-1.8606593160684293,-1.8625531215375997
-1.7505710950379234,-1.7511389371543105
-1.8429277610947021,-1.842809250759281
-1.8263625817955031,-1.8274969705346715
-1.756579813893227,-1.758083214717919
-1.7857249729974678,-1.7860845341856466
-1.7151757342374985,-1.7136624757825774
-1.7330985255045386,-1.7310377378496677
-1.6720759376071328,-1.673884218125231
-1.6306281818190957,-1.6304412648329258
-1.6138685275266036,-1.613550408807187
-1.5399524731350887,-1.5400172109464845
-1.4334694160663661,-1.4344213321239645
-1.4285297122588527,-1.430022433840755
-1.4288566645747056,-1.4277118854870252
-1.3696357719998196,-1.3657103731622295
-1.29679639818069,-1.2972109119219026
-1.1902667714103803,-1.1906575480041883
-1.1661144724501562,-1.1672629988697119
-1.0855768108824586,-1.0840423037712736
-1.0963869067001388,-1.0944531590273483
-1.0850756847250882,-1.084956131784149
-1.0515813714751354,-1.0519112141685387
-0.9968418329602201,-0.9985643495967994
-1.021610709605477,-1.0231962124690288
