nolines,lines
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
2528.00588480328,2507.719411417471
2402.8710722799783,2244.929424191327
2054.4638630065983,2087.3090139219908
2764.4153615366763,2597.4520190178723
3436.4018785788176,3573.8106250751375
7267.516325946573,7659.17615694403
11236.324967848735,11401.006601945279
6554.4633419068205,6868.168262171542
222.06347200744204,214.75508631927593
218.12523719184847,220.51929258003713
235.8065459227112,228.59507518754688
207.9897026297205,194.3063560463222
769.1788221213543,764.8153199302432
4972.48830631103,4573.97874135856
6581.624373207559,6252.540985039601
14276.131562152952,14304.821967770144
8465.251905501711,8275.20602749568
3593.7902052846684,3691.4270836087167
8106.446040997237,8006.54243788168
6474.465397513534,6362.990005461271
7319.012649524537,7465.856104051299
4748.126464659508,4536.968956076302
1605.8354773761869,1347.2402504379102
549.7121850568723,517.1083405825125
2442.7876104974753,2267.9334919481207
1330.7261211834675,1338.6956636592215
569.2992885117626,785.9807106411749
1571.2524954315895,1532.1559604361457
696.9731311894323,577.6026384115645
1125.8430298669546,1209.8447462381366
705.2229480100596,605.8868686479358
695.8297492921685,703.3629355460815
1210.4593910990984,1015.6429441491773
1204.0013899908893,1364.2685356996253
4651.601756771529,4689.81303162503
4542.986789756261,4704.785784326428
4828.927476407164,4777.604943902332
3090.990727501481,3160.7748075274167
3172.0124614982255,3268.2326639332173
4272.031576650631,4197.088871765778
3939.1366098549997,3871.5885806087404
2693.668099655184,2549.9477244641444
3914.3669457014444,3966.8117938213286
3833.9127121519005,3785.740897420214
3767.659950035291,3743.753184973615
3849.8575452995656,3866.802044053973
3734.7679710391812,3610.504548882336
