,field,candidate id,object id,object ra,object dec,object MJD,object filter,object magnitude,object magnitude error,object real/bogus score,exposure id,mean seeing,airmass,object datetime,parallactic angle
4190,COSMOS,DC21fjqb,572855,151.05397552682,2.49772539739,59319.04457241,r,20.206,0.01,1.0,474,1.097,1.18,2021-04-15 01:04:11.056224,-176.1560962500599
4191,COSMOS,DC21fjqb,10057903,151.05393216839,2.49777530499,59319.04589238,i,20.078,0.011,1.0,2020,0.846,1.18,2021-04-15 01:06:05.101632,-176.91626503541954
4192,COSMOS,DC21fjqb,572818,151.05375346188,2.49805113324,59319.05611945,g,20.909,0.013,1.0,482,0.966,1.18,2021-04-15 01:20:48.720480,177.17536028268992
4193,COSMOS,DC21fjqb,582994,151.05373272501,2.49808087647,59319.05714362,r,20.213,0.008,1.0,483,0.885,1.18,2021-04-15 01:22:17.208768,176.5850994443931
4194,COSMOS,DC21kadl,1254489,151.06952048561,2.51957107513,59360.99112796,g,19.479,0.015,1.0,1114,1.082,1.25,2021-05-26 23:47:13.455744,151.56282285902716
4195,COSMOS,DC21kadl,1255117,151.06972531161,2.51954624665,59360.99237209,g,19.446,0.014,1.0,1115,1.061,1.25,2021-05-26 23:49:00.948576,151.03615743691503
4196,COSMOS,DC21kadl,1257519,151.06992219785,2.51954412909,59360.99363475,r,18.86,0.006,1.0,1116,0.959,1.26,2021-05-26 23:50:50.042400,150.50827921471517
4197,COSMOS,DC21bcgwn,3101395,151.06962466636,2.53163023504,59370.00332055,g,21.276,0.025,1.0,1428,0.987,1.4,2021-06-05 00:04:46.895520,138.62921463885746
4198,COSMOS,DC21bcgwn,3101097,151.06992655296,2.53159080892,59370.00457302,g,21.244,0.032,1.0,1429,1.038,1.41,2021-06-05 00:06:35.108928,138.2774652117837
4199,COSMOS,DC21jzxj,1252512,151.15932781215,2.36363817058,59360.99112796,g,20.331,0.033,1.0,1114,1.082,1.25,2021-05-26 23:47:13.455744,151.5726973899482
4200,COSMOS,DC21jzxj,1252916,151.15958228392,2.36360592811,59360.99237209,g,20.279,0.031,1.0,1115,1.061,1.25,2021-05-26 23:49:00.948576,151.04390508518958
4201,COSMOS,DC21jtkz,1219738,151.16155288292,2.42842773078,59355.99525281,g,19.943,0.021,1.0,1045,1.258,1.23,2021-05-21 23:53:09.842784,155.87969604992907
4202,COSMOS,DC21jtkz,1219164,151.16182697089,2.4284314343,59355.99653871,g,19.965,0.023,1.0,1046,1.332,1.23,2021-05-21 23:55:00.944544,155.28244730281642
4203,COSMOS,DC21kjcg,1304374,151.3093240489,2.42462401103,59366.99249735,g,21.633,0.042,1.0,1156,1.42,1.31,2021-06-01 23:49:11.771040,144.82521150286416
4204,COSMOS,DC21kjcg,1303953,151.3095816952,2.42460421847,59366.99376215,g,21.718,0.048,1.0,1157,1.46,1.32,2021-06-01 23:51:01.049760,144.37854797728673
