x,y
3864.0813155721444, 8.581002109257414e-14
3870.478194410849, 9.358301358828143e-14
3876.1820252205125, 1.0817507101519938e-13
3878.568278056817, 1.2027322303012316e-13
3879.6477117447125, 1.381172386746656e-13
3882.103688980177, 1.7196754499395842e-13
3882.6433611862253, 2.505063277722426e-13
3885.027114300153, 3.4928024108070295e-13
3887.6371815650036, 3.937559223496492e-13
3890.423122154241, 3.3450992887880783e-13
3892.0590118984305, 2.3332811141966804e-13
3892.9487345130665, 1.7349764165942383e-13
3895.242140518223, 1.374875537913637e-13
3897.0880962178853, 1.2654978483454518e-13
3898.274750140597, 1.171377403387531e-13
3903.0167234898863, 1.0652543828037225e-13
3907.761910767946, 8.724384181629322e-14
3913.7174100555003, 7.723350486507112e-14
3924.4627345207045, 8.28712001568694e-14
3927.3673226470532, 1.1297697570644226e-13
3928.757971770893, 2.058560643800479e-13
3931.199397051091, 2.9327724280838615e-13
3934.239862943793, 2.584555201068408e-13
3935.272516112918, 1.594945201704365e-13
3936.875105984013, 9.421829489326523e-14
3939.469817811405, 7.972504928666822e-14
3949.1108899165415, 8.953120429058996e-14
3954.1527406752793, 8.188719182583258e-14
3958.7530333312684, 1.0633227428825811e-13
3959.4559909740183, 1.3373646471498528e-13
3961.426575689337, 1.841741276789689e-13
3964.448918594805, 3.0538046658045916e-13
3965.200888651305, 4.805485089457953e-13
3967.8280075937996, 4.927581521739131e-13
3969.266329994402, 4.609867416212664e-13
3971.012028971584, 3.1823562207194796e-13
3972.9525277425787, 2.2540226665677402e-13
3975.702490184746, 1.6940097354418842e-13
3977.1307244200407, 1.3223059006211182e-13
3979.0800614951545, 1.1139441258770908e-13
3980.8130833088526, 9.93013323299345e-14
3986.6048507807095, 8.543672227757403e-14
3993.986709511776, 7.624337544781973e-14
4005.336698964832, 7.578473120217073e-14
4014.91554583794, 6.997870603947174e-14
4023.9503459908397, 8.760647245246221e-14
4029.1276281369346, 6.870018601742522e-14
4039.9551756131846, 6.79814830517457e-14
4056.6644805668657, 7.318510588684205e-14
4072.308993063717, 7.531655555084477e-14
4084.1683009511, 8.079011828800373e-14
4089.217293773772, 9.791035920971742e-14
4091.857000603951, 1.1440948476882963e-13
4093.661710884391, 1.4258099707459777e-13
4095.9130679881337, 1.9846563977275138e-13
4096.938579093324, 3.114537208784686e-13
4098.202456582327, 4.312790115638183e-13
4099.642028844118, 4.470343377037712e-13
4102.287092222247, 3.6221462091662606e-13
4105.140257488268, 2.426060166832722e-13
4106.450379841247, 1.6876849045004558e-13
4109.029111300585, 1.318491589468552e-13
4110.634290169856, 1.1032680770779896e-13
4112.57059297829, 9.337953119369131e-14
4114.767848947728, 7.999184120153477e-14
4123.3261841604, 7.373233099442478e-14
4133.957324878453, 6.74671369215441e-14
4146.93311591039, 6.884700464248618e-14
4160.673643438112, 6.654888654526955e-14
4175.31371391838, 7.152707851949209e-14
4186.891445935146, 6.304692567782419e-14
4197.769434237934, 6.730746401543256e-14
4208.952477946522, 6.11922365548089e-14
4219.229283017625, 4.9202777542238146e-14
4225.891846634691, 6.028351758421132e-14
4233.534390699366, 6.743915481313464e-14
4238.820410768863, 5.658987927416107e-14
4248.75680721769, 6.45919752824709e-14
4259.171811225926, 6.01279545502724e-14
4270.944253760706, 6.051297087316898e-14
4281.0804494481, 5.842218271044878e-14
4290.462978838808, 6.778062397981897e-14
4301.3374853854275, 7.199918915481314e-14
4312.806033099796, 6.649257255209548e-14
4321.860027549519, 7.631184416933416e-14
4326.279001057373, 9.174345229262502e-14
4330.309089183994, 1.1571756089288363e-13
4331.4879761121765, 1.4475284590761666e-13
4333.348930146101, 2.0909936563288323e-13
4336.609728711182, 3.296704232293897e-13
